Câu hỏi,Trả lời
Triết lý “3 Tốt” của GAIA nghĩa là gì ạ?,"Dạ, “3 Tốt” là triết lý hoạt động cốt lõi của GAIA ạ. Cụ thể là: Tốt cho xã hội – GAIA tích cực đóng góp cho cộng đồng, nâng cao phúc lợi động vật và bảo vệ môi trường; Tốt cho khách hàng – GAIA thấu hiểu và đồng hành cùng khách hàng, cam kết mang lại sự an tâm, minh bạch và chăm sóc thú cưng bằng cả trái tim và chuyên môn; Tốt cho nhân viên – GAIA xây dựng môi trường làm việc công bằng, giàu cơ hội học hỏi và phát triển cho nhân viên. Triết lý này giúp GAIA phục vụ khách hàng một cách toàn diện và tận tâm nhất. Anh/Chị có muốn trải nghiệm những giá trị “3 Tốt” này thông qua dịch vụ của GAIA không ạ?"
GAIA có dịch vụ khám thú cưng tại nhà không ạ?,"Dạ, hiện tại GAIA tập trung chăm sóc bé tại bệnh viện để đảm bảo đầy đủ thiết bị và môi trường vô trùng tốt nhất cho bé ạ. Tuy GAIA chưa có dịch vụ khám tại nhà, nhưng chúng tôi có xe vận chuyển thú cưng hỗ trợ đón bé từ nhà đến bệnh viện nếu Anh/Chị không tiện đưa bé đi. Anh/Chị có muốn GAIA sắp xếp xe đưa đón bé đến khám để thuận tiện hơn không ạ?"
Em cần chuẩn bị gì trước khi đưa bé đi khám tại GAIA ạ?,"Dạ, Anh/Chị không cần chuẩn bị gì phức tạp đâu ạ, chỉ cần giữ bé sạch sẽ và bình tĩnh trước khi đi khám. Nếu có, Anh/Chị nên mang theo sổ tiêm phòng hoặc hồ sơ bệnh án cũ của bé để bác sĩ tham khảo. GAIA sẽ lo mọi khâu kiểm tra ban đầu cho bé. Anh/Chị có muốn đặt lịch khám trước để GAIA chuẩn bị đón bé chu đáo không ạ?"
Bác sĩ sẽ khám những gì trong buổi khám sức khỏe tổng quát ạ?,"Dạ, trong buổi khám tổng quát, bác sĩ GAIA sẽ kiểm tra toàn diện cho bé: từ tai, mắt, mũi, miệng, răng đến tim phổi, da lông và đo nhiệt độ, cân nặng ạ. Nếu cần, bác sĩ có thể đề nghị làm xét nghiệm máu hoặc siêu âm để đánh giá sâu hơn về sức khỏe của bé. Mục tiêu là phát hiện sớm vấn đề (nếu có) và tư vấn cho Anh/Chị cách chăm sóc phù hợp. Anh/Chị có muốn đặt lịch cho bé khám tổng quát định kỳ để theo dõi sức khỏe tốt hơn không ạ?"
Một lần khám cho thú cưng thường kéo dài bao lâu ạ?,"Dạ, một buổi khám cho bé thường kéo dài khoảng 30 đến 60 phút ạ, tùy trường hợp cụ thể. Thời gian này đủ để bác sĩ kiểm tra kỹ lưỡng và trao đổi với Anh/Chị về tình trạng của bé. GAIA luôn cố gắng làm việc nhanh nhưng vẫn đảm bảo đầy đủ thông tin cho khách hàng. Anh/Chị có muốn chọn khung giờ khám vắng khách để được thoải mái trao đổi lâu hơn không ạ?"
Chi phí khám sức khỏe cho thú cưng là bao nhiêu ạ?,"Dạ, hiện tại phí khám sức khỏe tổng quát cho thú cưng tại GAIA là 300.000 (VNĐ)/lượt ạ (trường hợp thông thường). Mức phí này bao gồm kiểm tra toàn diện và tư vấn từ bác sĩ. GAIA sẽ báo trước nếu cần làm thêm xét nghiệm hay dịch vụ khác có phụ thu. Anh/Chị có muốn GAIA tư vấn trước về chi phí dự kiến cho bé dựa trên nhu cầu khám cụ thể không ạ?"
Em có thể yêu cầu một bác sĩ cụ thể khám cho bé được không ạ?,"Dạ, Anh/Chị hoàn toàn có thể yêu cầu bác sĩ theo mong muốn nếu bác sĩ đó đang làm việc tại GAIA Riverside ạ. Chúng tôi hiểu có những bác sĩ Anh/Chị đã tin tưởng và bé cưng quen thuộc, nên GAIA sẽ cố gắng sắp xếp theo yêu cầu. Anh/Chị chỉ cần thông báo tên bác sĩ khi đặt lịch, GAIA sẽ thu xếp. Anh/Chị có muốn GAIA kết nối với bác sĩ mà Anh/Chị mong muốn để đặt lịch khám cho bé không ạ?"
Nếu thú cưng của em hơi hung dữ hoặc quá nhút nhát thì GAIA sẽ khám như thế nào ạ?,"Dạ, GAIA rất hiểu tâm lý những bé “cá tính mạnh” hoặc nhút nhát ạ. Bác sĩ và nhân viên của chúng tôi được đào tạo để tiếp cận bé nhẹ nhàng, tạo cảm giác an toàn. Nếu bé quá căng thẳng, chúng tôi có thể dùng biện pháp hỗ trợ như đeo rọ mõm nhẹ nhàng (với chó) hoặc quấn khăn êm để giữ bé mèo an toàn, tuyệt đối không làm đau bé. Trong trường hợp đặc biệt, bác sĩ có thể đề xuất dùng thuốc an thần nhẹ, nhưng chỉ khi thật cần thiết và có sự đồng ý của Anh/Chị. Anh/Chị yên tâm nhé. Anh/Chị có muốn đặt lịch vào giờ vắng hoặc phòng riêng để bé đỡ sợ hơn khi khám không ạ?"
"Sau khi khám, bác sĩ có hướng dẫn cách chăm sóc bé tại nhà không ạ?","Dạ, sau mỗi buổi khám, bác sĩ GAIA sẽ dặn dò Anh/Chị rất cụ thể về cách chăm sóc bé tại nhà ạ. Ví dụ: chế độ ăn, cách cho uống thuốc (nếu cần), và lưu ý theo dõi các triệu chứng bất thường. GAIA còn cung cấp tờ hướng dẫn hoặc gửi thông tin qua Zalo/Email để Anh/Chị tiện theo dõi. Mọi thắc mắc sau đó Anh/Chị đều có thể liên hệ để được giải đáp. Anh/Chị có cần GAIA gửi lại các hướng dẫn chăm sóc qua tin nhắn cho mình sau mỗi lần khám không ạ?"
GAIA có theo dõi tình hình sức khỏe của bé sau khi khám không ạ?,"Dạ, GAIA luôn quan tâm đến bé cưng ngay cả sau khi đã khám xong ạ. Thông thường, nhân viên GAIA sẽ chủ động liên hệ hỏi thăm Anh/Chị về tình hình của bé sau vài ngày, đặc biệt nếu bé có bệnh hoặc dùng thuốc. Chúng tôi muốn đảm bảo bé đáp ứng tốt và Anh/Chị không còn lo lắng gì. Đây là một phần trong dịch vụ tận tâm của GAIA. Anh/Chị có cảm thấy yên tâm hơn khi GAIA đồng hành cùng bé cả sau buổi khám không ạ?"
Em có cần mang sổ tiêm phòng hay hồ sơ bệnh án cũ của bé khi đi khám không ạ?,"Dạ, nếu có sổ tiêm phòng hoặc hồ sơ bệnh án cũ của bé thì Anh/Chị nên mang theo ạ. Những thông tin lịch sử sức khỏe này sẽ giúp bác sĩ GAIA hiểu rõ hơn về tình trạng của bé (đã tiêm những gì, có bệnh nền không). Nếu không có sẵn thì cũng không sao, bác sĩ vẫn khám đầy đủ và có thể làm xét nghiệm tại chỗ nếu cần. Anh/Chị có muốn GAIA kiểm tra và cập nhật lại sổ sức khỏe cho bé luôn trong lần khám tới không ạ?"
"GAIA có máy X-quang, siêu âm và xét nghiệm tại chỗ không ạ?","Dạ, GAIA được trang bị đầy đủ thiết bị hiện đại tại chỗ ạ, bao gồm máy X-quang, máy siêu âm, hệ thống xét nghiệm máu sinh hóa, huyết học ngay trong bệnh viện. Nhờ vậy, khi cần kiểm tra chuyên sâu, bác sĩ có thể thực hiện nhanh chóng và có kết quả trong ngày, giúp việc chẩn đoán và điều trị cho bé kịp thời hơn. Anh/Chị có muốn đặt lịch làm gói kiểm tra sức khỏe tổng quát (bao gồm xét nghiệm và siêu âm) cho bé để an tâm hơn không ạ?"
GAIA có dịch vụ tư vấn thú y trực tuyến hoặc qua điện thoại không ạ?,"Dạ, GAIA rất sẵn lòng hỗ trợ tư vấn từ xa cho Anh/Chị ạ. Nếu Anh/Chị có thắc mắc nhỏ về chăm sóc hay triệu chứng của bé, Anh/Chị có thể gọi điện đến hotline hoặc nhắn tin qua fanpage GAIA để được bác sĩ tư vấn sơ bộ. Tuy nhiên, đối với các vấn đề sức khỏe nghiêm trọng, bác sĩ vẫn khuyến nghị nên đưa bé đến khám trực tiếp để chẩn đoán chính xác. Anh/Chị có muốn GAIA kết nối bác sĩ tư vấn online cho mình ngay bây giờ không ạ?"
Chó/mèo con cần tiêm những mũi vaccine gì ạ?,"Dạ, thông thường chó mèo con cần được tiêm các mũi vaccine cơ bản để phòng ngừa bệnh nguy hiểm ạ. Chó con thường tiêm các mũi 7 bệnh (Care, Parvo, Ho cũi, Viêm gan, Lepto) và dại; mèo con thì tiêm các mũi 4 bệnh (Giảm bạch cầu, Viêm mũi – calici, Herpes, và dại). GAIA sẽ tư vấn phác đồ tiêm cụ thể phù hợp với từng bé. Anh/Chị có muốn đặt lịch đưa bé đến để bác sĩ tư vấn lịch tiêm chi tiết và tiêm mũi đầu tiên không ạ?"
Lịch tiêm phòng cho thú cưng của em diễn ra như thế nào ạ?,"Dạ, lịch tiêm phòng sẽ tùy theo độ tuổi và tình trạng sức khỏe của bé ạ. Ví dụ, chó mèo con thường bắt đầu tiêm mũi đầu tiên lúc 6-8 tuần tuổi, sau đó tiêm nhắc các mũi tiếp theo mỗi 3-4 tuần cho đến khoảng 16 tuần tuổi. Khi trưởng thành, bé sẽ được tiêm nhắc lại định kỳ mỗi năm một lần (đối với các vaccine chính như dại và 7 bệnh/4 bệnh). Bác sĩ GAIA sẽ xây dựng lịch tiêm phù hợp nhất cho bé nhà Anh/Chị. Anh/Chị có muốn GAIA gửi lịch tiêm phòng chi tiết của bé qua email hoặc tin nhắn không ạ?"
Em có cần đặt lịch trước khi đưa bé đi tiêm phòng không ạ?,"Dạ, tiêm phòng cho bé thường diễn ra khá nhanh nên Anh/Chị có thể đưa bé qua bất kỳ lúc nào trong giờ làm việc mà không nhất thiết đặt lịch trước ạ. Tuy nhiên, nếu đặt lịch hẹn thì GAIA sẽ chủ động chuẩn bị vaccine và giảm thời gian chờ cho Anh/Chị. Đặc biệt vào cuối tuần thường đông, đặt lịch sẽ giúp bé được tiêm ngay. Anh/Chị có muốn GAIA đặt lịch tiêm cho bé vào thời gian thuận tiện nhất không ạ?"
Chi phí tiêm phòng cho thú cưng là bao nhiêu ạ?,"Dạ, chi phí tiêm phòng phụ thuộc vào loại vaccine của bé ạ. Mỗi mũi vaccine bệnh tại GAIA có giá 300.000 (VNĐ) trên chó và 350.000 (VNĐ) trên mèo. Vaccine dại có giá chung cho cả chó và mèo là 150.000 (VNĐ). GAIA luôn sử dụng vaccine chính hãng, bảo quản chuẩn nên giá có thể nhỉnh hơn ngoài thị trường một chút, nhưng Anh/Chị yên tâm là tương xứng với chất lượng và độ an toàn. Chúng tôi cũng có gói tiêm phòng trọn gói tiết kiệm nếu bé cần tiêm nhiều mũi. Anh/Chị có muốn GAIA gửi bảng giá chi tiết từng mũi vaccine hoặc tư vấn gói tiêm phù hợp cho bé không ạ?"
"Trước khi tiêm, bác sĩ có khám kiểm tra sức khỏe cho bé không ạ?","Dạ, trước mỗi mũi tiêm, bác sĩ GAIA luôn khám sơ bộ cho bé ạ. Chúng tôi sẽ kiểm tra nhiệt độ, nhịp tim và tình trạng sức khỏe tổng quát để đảm bảo bé đang khỏe mạnh, đủ điều kiện tiêm. Nếu bé có dấu hiệu sốt hoặc không khỏe, bác sĩ sẽ hoãn tiêm và tư vấn hướng xử lý trước.
Ngoài ra, theo quy trì tiêm vaccine cập nhật từ Nhật Bản, các bác sĩ khuyến nghị nên xét nghiệm chuyên sâu để phát hiện sớm các vấn đề viêm nhiễm trước khi tiêm vaccine, giúp đảm bảo hiệu quả bảo vệ tốt nhất, với chi phí là 1.000.000 (VNĐ)/lần. Việc này nhằm đảm bảo an toàn tối đa cho bé khi tiêm phòng. Anh/Chị có muốn đặt lịch khám sàng lọc sức khỏe cho bé trước khi tiêm để yên tâm hơn không ạ?"
"Sau khi tiêm, thú cưng có thể có những phản ứng phụ gì không ạ?","Dạ, sau khi tiêm phòng, một số bé có thể hơi mệt, sốt nhẹ hoặc sưng đau chỗ tiêm một chút ạ. Đây là những phản ứng phụ thông thường và sẽ hết sau 1-2 ngày. Bác sĩ GAIA sẽ hướng dẫn Anh/Chị cách chăm sóc để bé thoải mái hơn, như chườm mát chỗ tiêm hoặc nghỉ ngơi nhiều. Trong trường hợp hiếm bé bị phản ứng mạnh (dị ứng, sưng mặt, nôn mửa), GAIA đã chuẩn bị sẵn thuốc và dụng cụ cấp cứu để xử lý kịp thời ngay tại chỗ. Anh/Chị yên tâm nhé. Anh/Chị có muốn GAIA cung cấp số hotline cấp cứu (24/7) để liên hệ ngay nếu thấy bé có phản ứng bất thường không ạ?"
Vaccine tại GAIA sử dụng có đảm bảo chất lượng không ạ?,"Dạ, GAIA chỉ sử dụng các loại vaccine chất lượng cao và nguồn gốc rõ ràng ạ. Tất cả vaccine đều được nhập từ các hãng uy tín (Mỹ, Pháp, v.v.) hoặc từ các nhà cung cấp được Bộ Nông nghiệp – Môi trường cấp phép. Chúng tôi bảo quản vaccine nghiêm ngặt trong tủ lạnh y tế để đảm bảo hiệu lực tốt nhất khi tiêm cho bé. Anh/Chị có muốn xem qua giấy tờ chứng nhận nguồn gốc vaccine mà GAIA đang sử dụng không ạ?"
Nếu bé nhà em bị trễ một mũi vaccine trong lịch thì có sao không ạ?,"Dạ, nếu bé lỡ trễ lịch tiêm 1 mũi thì Anh/Chị cũng đừng quá lo ạ. Bác sĩ GAIA sẽ kiểm tra và có thể điều chỉnh lại lịch tiêm cho bé. Thông thường, nếu trễ không quá lâu, chỉ cần tiêm bù mũi đó ngay khi có thể rồi tiếp tục lịch như bình thường. Còn nếu trễ quá lâu, bác sĩ có thể đề nghị tiêm lại từ đầu phác đồ để đảm bảo hiệu quả bảo vệ. Tốt nhất Anh/Chị nên đưa bé đến để GAIA tư vấn phương án tối ưu. Anh/Chị có muốn đặt lịch cho bé tiêm bù mũi đã trễ ngay không ạ?"
"Sau khi tiêm, em có cần cho bé ở lại phòng khám để theo dõi không ạ?","Dạ, GAIA thường mời Anh/Chị và bé nán lại khoảng 15-20 phút sau tiêm để theo dõi ạ. Đây là khoảng thời gian để đảm bảo bé không có phản ứng phản vệ hay bất thường nào. Đa số các bé đều ổn và có thể về ngay. Nếu sau khi về nhà Anh/Chị thấy bé có biểu hiện lạ, GAIA cũng khuyến khích liên hệ ngay. Anh/Chị có thể ngồi nghỉ tại khu vực chờ, uống nước trong lúc đợi quan sát bé sau tiêm. Anh/Chị có muốn GAIA chuẩn bị chỗ ngồi thoải mái khi đưa bé đi tiêm không ạ?"
GAIA có dịch vụ nhắc lịch tiêm nhắc lại cho thú cưng không ạ?,"Dạ, GAIA có hệ thống nhắc lịch tiêm rất chu đáo ạ. Chúng tôi sẽ ghi lại lịch sử tiêm của bé vào hệ thống. Đến khi gần đến hạn tiêm nhắc lại (ví dụ trước 1 tuần), GAIA sẽ gửi tin nhắn hoặc gọi điện thông báo cho Anh/Chị. Nhờ đó, Anh/Chị sẽ không lo quên lịch tiêm của bé. Đây là một phần trong dịch vụ chăm sóc khách hàng của GAIA. Anh/Chị có muốn đăng ký số điện thoại/Zalo để nhận nhắc lịch tiêm tự động cho bé không ạ?"
GAIA có gói tiêm phòng trọn gói cho thú cưng không ạ?,"Dạ, GAIA có cung cấp gói tiêm phòng trọn gói cho thú cưng ạ. Gói này bao gồm đầy đủ các mũi vaccine cần thiết theo độ tuổi của bé, được thiết kế để bé tiêm đúng lịch và khách hàng được hưởng giá ưu đãi hơn so với tiêm lẻ từng mũi. Khi đăng ký gói, GAIA sẽ lên lịch hẹn cho từng mũi và nhắc nhở Anh/Chị đưa bé đi tiêm đúng hạn. Anh/Chị có muốn GAIA tư vấn chi tiết về gói tiêm phòng phù hợp cho bé nhà mình không ạ?"
GAIA có dịch vụ phẫu thuật triệt sản cho chó mèo không ạ?,"Dạ, GAIA có thực hiện phẫu thuật triệt sản cho cả chó và mèo ạ. Đây là một phẫu thuật tương đối đơn giản và an toàn tại GAIA. Bác sĩ sẽ thăm khám trước để đảm bảo bé đủ sức khỏe phẫu thuật. Chi phí triệt sản phụ thuộc vào trọng lượng của bé, nhưng GAIA sẽ báo giá cụ thể và minh bạch trước khi tiến hành. Sau mổ, bé sẽ được chăm sóc và theo dõi tại phòng hồi tỉnh đến khi tỉnh hẳn mới cho về nhà. Anh/Chị có muốn đặt lịch tư vấn triệt sản cho bé với bác sĩ GAIA không ạ?"
GAIA có thực hiện những ca phẫu thuật phức tạp như mổ xương gãy hay cắt u không ạ?,"Dạ, GAIA có khả năng thực hiện các ca phẫu thuật phức tạp như kết hợp xương gãy, mổ lấy u bướu, mổ đẻ và nhiều loại phẫu thuật chuyên sâu khác ạ. Đội ngũ bác sĩ phẫu thuật của chúng tôi được đào tạo chuyên môn cao và đã xử lý thành công nhiều ca khó. Ngoài ra, GAIA còn hợp tác với chuyên gia ngoại khoa thú y khi cần thiết để đảm bảo bé nhận được sự chăm sóc tốt nhất. Anh/Chị cứ yên tâm nếu bé cần phẫu thuật phức tạp. Anh/Chị có muốn đặt lịch để bác sĩ GAIA thăm khám và tư vấn phương án phẫu thuật cụ thể cho bé không ạ?"
Bác sĩ phẫu thuật tại GAIA có nhiều kinh nghiệm không ạ?,"Dạ, các bác sĩ phẫu thuật của GAIA đều có nhiều năm kinh nghiệm ạ. Nhiều bác sĩ đã từng tu nghiệp ở nước ngoài và thường xuyên tham gia các khóa đào tạo nâng cao. Tay nghề và sự tận tâm của các bác sĩ đã được khẳng định qua hàng trăm ca phẫu thuật thành công. Vì vậy, Anh/Chị có thể hoàn toàn tin tưởng khi bé cưng được phẫu thuật tại GAIA. Anh/Chị có muốn gặp gỡ và trao đổi với bác sĩ phẫu thuật trước khi quyết định phẫu thuật cho bé không ạ?"
Quy trình phẫu thuật tại GAIA diễn ra như thế nào ạ?,"Dạ, quy trình phẫu thuật tại GAIA được thực hiện rất chặt chẽ ạ. Đầu tiên, bác sĩ sẽ khám tổng quát và làm xét nghiệm cần thiết cho bé trước ngày mổ. Khi đến lịch mổ, bé sẽ được gây mê an toàn và tiến hành phẫu thuật trong phòng mổ vô trùng hiện đại. Sau khi mổ xong, bé sẽ nằm ở khu hồi tỉnh có sưởi ấm và oxy hỗ trợ nếu cần, được nhân viên theo dõi sát sao. Bác sĩ sau đó sẽ trao đổi với Anh/Chị về kết quả ca mổ và dặn dò chăm sóc. Anh/Chị có muốn tham quan phòng mổ hoặc tìm hiểu kỹ hơn về các bước phẫu thuật tại GAIA trước khi quyết định cho bé mổ không ạ?"
"Trước khi phẫu thuật, em cần chuẩn bị gì cho bé không ạ?","Dạ, trước ngày phẫu thuật, Anh/Chị lưu ý cho bé nhịn ăn khoảng 8-12 tiếng và nhịn uống 2-4 tiếng (theo hướng dẫn cụ thể của bác sĩ) để đảm bảo an toàn gây mê ạ. Ngoài ra, Anh/Chị nên tắm cho bé (nếu có thể) và giữ bé nghỉ ngơi, không vận động quá sức trước ngày mổ. GAIA sẽ liên hệ nhắc nhở và hướng dẫn chi tiết trước khi mổ. Anh/Chị có cần GAIA gửi một danh sách các việc cần chuẩn bị cho bé trước ngày phẫu thuật không ạ?"
"Trước khi mổ, GAIA có làm xét nghiệm máu và kiểm tra X-quang cho bé không ạ?","Dạ, có ạ. Trước mỗi ca phẫu thuật, GAIA luôn tiến hành các xét nghiệm tiền phẫu cần thiết cho bé. Thông thường, bé sẽ được xét nghiệm máu (để kiểm tra chức năng gan, thận, công thức máu…) và chụp X-quang hoặc siêu âm (nếu cần) để đánh giá tình trạng tổng quát. Những kiểm tra này giúp bác sĩ nắm rõ sức khỏe của bé và giảm thiểu rủi ro trong quá trình gây mê phẫu thuật. GAIA sẽ thảo luận kết quả với Anh/Chị trước khi tiến hành. Anh/Chị có muốn lên lịch cho bé làm các xét nghiệm tiền phẫu sớm để chuẩn bị tốt nhất không ạ?"
"Sau phẫu thuật, GAIA sẽ chăm sóc bé như thế nào?","Dạ, sau khi phẫu thuật, bé sẽ được chuyển đến khu vực hồi sức và chăm sóc hậu phẫu tại GAIA ạ. Bác sĩ sẽ tiêm thuốc giảm đau và kháng sinh (nếu cần) để bé đỡ đau và phòng nhiễm trùng. Trong những giờ đầu, nhân viên sẽ túc trực theo dõi nhịp tim, nhiệt độ, tình trạng tỉnh táo của bé. Khi trả bé về nhà, GAIA sẽ hướng dẫn Anh/Chị cách cho bé uống thuốc, vệ sinh vết mổ và chế độ ăn nghỉ phù hợp để bé hồi phục tốt nhất. Anh/Chị có muốn GAIA cung cấp số điện thoại bác sĩ để liên hệ ngay nếu có bất kỳ vấn đề gì sau mổ không ạ?"
Thú cưng có cần ở lại bệnh viện sau phẫu thuật không ạ?,"Dạ, điều này phụ thuộc vào loại phẫu thuật và tình trạng của bé sau mổ ạ. Với các ca mổ lớn hoặc bé cần theo dõi, GAIA khuyến nghị nên cho bé ở lại bệnh viện 1-2 ngày để bác sĩ chăm sóc và quan sát. Nếu chỉ là tiểu phẫu hoặc sức khỏe bé ổn định nhanh, bé có thể về nhà trong ngày. Dù ở lại hay về nhà, GAIA đều hướng dẫn kỹ cách chăm sóc tiếp theo. Anh/Chị có muốn sắp xếp cho bé ở lại theo dõi một đêm tại GAIA sau mổ để yên tâm hơn không ạ?"
Chi phí phẫu thuật tại GAIA được tính như thế nào ạ?,"Dạ, chi phí phẫu thuật tại GAIA sẽ tùy vào loại phẫu thuật và thể trạng của bé ạ. Bác sĩ sẽ khám và lập kế hoạch phẫu thuật chi tiết, sau đó GAIA sẽ gửi Anh/Chị bảng báo giá cụ thể trước khi tiến hành. Bảng giá này bao gồm chi phí xét nghiệm sàng lọc trước ca phẫu thuật, chi phí phẫu thuật, chi phí chăm sóc hậu phẫu,… Chúng tôi cam kết không phát sinh chi phí bất ngờ và chỉ tiến hành khi Anh/Chị đồng ý. Anh/Chị có muốn đặt lịch thăm khám để bác sĩ tư vấn và báo giá phẫu thuật chi tiết cho bé không ạ?"
GAIA đảm bảo an toàn cho thú cưng trong quá trình phẫu thuật bằng cách nào ạ?,"Dạ, GAIA đặc biệt coi trọng an toàn gây mê và phẫu thuật cho bé ạ. Trong suốt quá trình mổ, bé được gắn máy theo dõi nhịp tim, huyết áp, nồng độ oxy… liên tục. Bác sĩ gây mê luôn túc trực để điều chỉnh thuốc phù hợp. Phòng mổ vô trùng và dụng cụ được khử khuẩn tuyệt đối. Ngoài ra, GAIA chuẩn bị sẵn oxy, máy sưởi ấm, thuốc cấp cứu để ứng phó tình huống khẩn cấp (nếu có). Nhờ các biện pháp này, tỷ lệ biến chứng tại GAIA rất thấp. Anh/Chị có muốn tìm hiểu thêm về quy trình gây mê an toàn của GAIA trước khi quyết định phẫu thuật cho bé không ạ?"
